testart;pdf_datei;document_loader;chunk_size;overlap_konstant;top_k_konstant;anzahl_chunks;woerter_gesamt_mit_overlap;chunk_woerter_mittelwert;chunk_woerter_minimum;chunk_woerter_maximum;speicher_bytes;speicher_kib;chunking_laufzeit_sekunden;embedding_laufzeit_sekunden;retrieval_laufzeit_sekunden;auswertbare_fragen;retrieval_treffer;retrieval_trefferquote_prozent
chunk_size;data/Elektrotechnik 3.pdf;text;100;50;5;24;2330;97.08;40;100;17004;16.61;9e-05;1.022;0.4578;3;3;100.0
chunk_size;data/Elektrotechnik 3.pdf;text;150;50;5;12;1740;145.0;90;150;12722;12.42;0.000489;1.5102;0.6019;3;3;100.0
chunk_size;data/Elektrotechnik 3.pdf;text;250;50;5;6;1440;240.0;190;250;10394;10.15;0.000404;0.3226;0.4343;3;3;100.0
chunk_size;data/Elektrotechnik 3.pdf;text;400;50;5;4;1340;335.0;140;400;9701;9.47;0.000352;0.3242;0.4619;3;3;100.0
chunk_size;data/Elektrotechnik 3.pdf;text;600;50;5;3;1290;430.0;90;600;9625;9.4;0.000415;0.2579;0.433;3;3;100.0
