testart;pdf_datei;document_loader;chunk_size_konstant;overlap_konstant;anzahl_dokument_chunks;top_k;effektives_top_k_maximal;fragen_gesamt;auswertbare_fragen;retrieval_treffer;retrieval_trefferquote_prozent;abgerufene_chunks_gesamt;passende_chunks_gesamt;kontext_woerter_gesamt;kontext_zeichen_gesamt;kontext_speicher_bytes_gesamt;kontext_speicher_kib_gesamt;kontext_tokens_gesamt;kontext_tokens_mittel_pro_frage;retrieval_laufzeit_sekunden;retrieval_laufzeit_mittel_pro_frage;token_messmethode
top_k;data/Elektrotechnik 3.pdf;text;250;50;6;1;1;3;3;3;100.0;3;3;750;5358;5493;5.36;1815;605.0;5.0367;1.678916;tiktoken
top_k;data/Elektrotechnik 3.pdf;text;250;50;6;3;3;3;3;3;100.0;9;7;2130;15766;16177;15.8;5392;1797.33;0.6481;0.216042;tiktoken
top_k;data/Elektrotechnik 3.pdf;text;250;50;6;5;5;3;3;3;100.0;15;12;3570;25684;26306;25.69;8810;2936.67;0.3774;0.125807;tiktoken
top_k;data/Elektrotechnik 3.pdf;text;250;50;6;7;6;3;3;3;100.0;18;15;4320;30528;31212;30.48;10500;3500.0;0.473;0.157678;tiktoken
top_k;data/Elektrotechnik 3.pdf;text;250;50;6;10;6;3;3;3;100.0;18;15;4320;30528;31212;30.48;10500;3500.0;0.3882;0.129387;tiktoken
